"","subject","condition","audio","step","sAnswer","rt","stepRepetition","trial","phase"
"340","AAM05","AAM","asee_shstep11",11,0,526,9,1,"Late"
"341","AAM05","AAM","asee_shstep13",13,0,619,9,0,"Late"
"342","AAM05","AAM","asee_shstep15",15,0,559,9,2,"Late"
"343","AAM05","AAM","asee_shstep17",17,0,652,9,4,"Late"
"344","AAM05","AAM","asee_shstep05",5,1,667,10,0,"Late"
"345","AAM05","AAM","asee_shstep07",7,1,812,10,4,"Late"
"346","AAM05","AAM","asee_shstep09",9,1,1472,10,2,"Late"
"347","AAM05","AAM","asee_shstep11",11,1,790,10,1,"Late"
"348","AAM05","AAM","asee_shstep13",13,0,1002,10,3,"Late"
"349","AAM05","AAM","asee_shstep15",15,0,639,10,5,"Late"
"350","AAM05","AAM","asee_shstep17",17,0,499,10,6,"Late"
"351","AAM06","AAM","asee_shstep05",5,1,948,1,2,"Early"
"352","AAM06","AAM","asee_shstep07",7,1,918,1,5,"Early"
"353","AAM06","AAM","asee_shstep09",9,1,1179,1,6,"Early"
"354","AAM06","AAM","asee_shstep11",11,1,853,1,0,"Early"
"355","AAM06","AAM","asee_shstep13",13,1,1076,1,3,"Early"
"356","AAM06","AAM","asee_shstep15",15,1,1077,1,4,"Early"
"357","AAM06","AAM","asee_shstep17",17,1,1814,1,1,"Early"
"358","AAM06","AAM","asee_shstep05",5,1,948,2,2,"Early"
"359","AAM06","AAM","asee_shstep07",7,1,926,2,6,"Early"
"360","AAM06","AAM","asee_shstep09",9,1,738,2,1,"Early"
"361","AAM06","AAM","asee_shstep11",11,1,1012,2,4,"Early"
"362","AAM06","AAM","asee_shstep13",13,1,966,2,3,"Early"
"363","AAM06","AAM","asee_shstep15",15,0,662,2,0,"Early"
"364","AAM06","AAM","asee_shstep17",17,0,1125,2,5,"Early"
"365","AAM06","AAM","asee_shstep05",5,1,902,3,5,"Early"
"366","AAM06","AAM","asee_shstep07",7,1,876,3,4,"Early"
"367","AAM06","AAM","asee_shstep09",9,1,777,3,2,"Early"
"368","AAM06","AAM","asee_shstep11",11,1,928,3,6,"Early"
"369","AAM06","AAM","asee_shstep13",13,0,1346,3,3,"Early"
"370","AAM06","AAM","asee_shstep15",15,0,1005,3,1,"Early"
"371","AAM06","AAM","asee_shstep17",17,0,878,3,0,"Early"
"372","AAM06","AAM","asee_shstep05",5,1,853,4,6,"Early"
"373","AAM06","AAM","asee_shstep07",7,1,942,4,3,"Early"
