subject,condition,audio,step,sAnswer,rt,stepRepetition,trial
AAM06,AAM,asee_shstep15,15,0,665,10,4
AAM06,AAM,asee_shstep17,17,0,692,10,3
AAM07,AAM,asee_shstep05,5,1,696,1,2
AAM07,AAM,asee_shstep07,7,1,729,1,5
AAM07,AAM,asee_shstep09,9,1,1458,1,6
AAM07,AAM,asee_shstep11,11,0,606,1,0
AAM07,AAM,asee_shstep13,13,0,704,1,3
AAM07,AAM,asee_shstep15,15,0,754,1,4
AAM07,AAM,asee_shstep17,17,0,657,1,1
AAM07,AAM,asee_shstep05,5,1,720,2,2
AAM07,AAM,asee_shstep07,7,1,503,2,6
AAM07,AAM,asee_shstep09,9,1,693,2,1
AAM07,AAM,asee_shstep11,11,1,849,2,4
AAM07,AAM,asee_shstep13,13,0,312,2,3
AAM07,AAM,asee_shstep15,15,0,741,2,0
AAM07,AAM,asee_shstep17,17,0,599,2,5
AAM07,AAM,asee_shstep05,5,1,618,3,5
AAM07,AAM,asee_shstep07,7,1,763,3,4
AAM07,AAM,asee_shstep09,9,1,912,3,2
AAM07,AAM,asee_shstep11,11,1,1914,3,6
AAM07,AAM,asee_shstep13,13,0,670,3,3
AAM07,AAM,asee_shstep15,15,0,689,3,1
AAM07,AAM,asee_shstep17,17,0,686,3,0
AAM07,AAM,asee_shstep05,5,1,691,4,6
AAM07,AAM,asee_shstep07,7,1,793,4,3
AAM07,AAM,asee_shstep09,9,1,716,4,5
AAM07,AAM,asee_shstep11,11,0,1766,4,2
AAM07,AAM,asee_shstep13,13,0,617,4,0
AAM07,AAM,asee_shstep15,15,0,844,4,4
AAM07,AAM,asee_shstep17,17,0,644,4,1
AAM07,AAM,asee_shstep05,5,1,649,5,2
AAM07,AAM,asee_shstep07,7,1,639,5,5
AAM07,AAM,asee_shstep09,9,1,729,5,0
AAM07,AAM,asee_shstep11,11,1,1410,5,3
AAM07,AAM,asee_shstep13,13,0,671,5,6
AAM07,AAM,asee_shstep15,15,0,625,5,4
AAM07,AAM,asee_shstep17,17,0,538,5,1
AAM07,AAM,asee_shstep05,5,1,636,6,0
AAM07,AAM,asee_shstep07,7,1,689,6,6
AAM07,AAM,asee_shstep09,9,1,622,6,1
AAM07,AAM,asee_shstep11,11,1,691,6,3
AAM07,AAM,asee_shstep13,13,0,595,6,5
AAM07,AAM,asee_shstep15,15,1,2058,6,4
AAM07,AAM,asee_shstep17,17,0,578,6,2
AAM07,AAM,asee_shstep05,5,1,658,7,6
AAM07,AAM,asee_shstep07,7,1,629,7,1
AAM07,AAM,asee_shstep09,9,1,641,7,5
AAM07,AAM,asee_shstep11,11,1,662,7,3
AAM07,AAM,asee_shstep13,13,0,666,7,0
AAM07,AAM,asee_shstep15,15,0,637,7,4
AAM07,AAM,asee_shstep17,17,0,778,7,2
AAM07,AAM,asee_shstep05,5,1,603,8,6
AAM07,AAM,asee_shstep07,7,1,553,8,1
AAM07,AAM,asee_shstep09,9,1,729,8,2
AAM07,AAM,asee_shstep11,11,0,636,8,4
AAM07,AAM,asee_shstep13,13,0,647,8,5
AAM07,AAM,asee_shstep15,15,0,749,8,0
AAM07,AAM,asee_shstep17,17,0,606,8,3
AAM07,AAM,asee_shstep05,5,1,650,9,0
AAM07,AAM,asee_shstep07,7,1,557,9,5
AAM07,AAM,asee_shstep09,9,1,556,9,6
AAM07,AAM,asee_shstep11,11,0,439,9,1
AAM07,AAM,asee_shstep13,13,0,683,9,2
AAM07,AAM,asee_shstep15,15,0,695,9,4
AAM07,AAM,asee_shstep17,17,0,623,9,3
AAM07,AAM,asee_shstep05,5,1,668,10,6
AAM07,AAM,asee_shstep07,7,1,577,10,1
AAM07,AAM,asee_shstep09,9,1,592,10,2
AAM07,AAM,asee_shstep11,11,1,837,10,0
AAM07,AAM,asee_shstep13,13,0,592,10,5
AAM07,AAM,asee_shstep15,15,0,722,10,4
AAM07,AAM,asee_shstep17,17,0,636,10,3
AAM08,AAM,asee_shstep05,5,1,2603,1,4
AAM08,AAM,asee_shstep07,7,1,2719,1,6
AAM08,AAM,asee_shstep09,9,1,1662,1,5
AAM08,AAM,asee_shstep11,11,1,2401,1,1
AAM08,AAM,asee_shstep13,13,0,2614,1,0
AAM08,AAM,asee_shstep15,15,0,1132,1,2
AAM08,AAM,asee_shstep17,17,0,1426,1,3
AAM08,AAM,asee_shstep05,5,0,2992,2,0
AAM08,AAM,asee_shstep07,7,0,2662,2,3
AAM08,AAM,asee_shstep09,9,1,1559,2,1
AAM08,AAM,asee_shstep11,11,0,1924,2,4
AAM08,AAM,asee_shstep13,13,0,2122,2,5
AAM08,AAM,asee_shstep15,15,0,1598,2,6
AAM08,AAM,asee_shstep17,17,0,1700,2,2
AAM08,AAM,asee_shstep05,5,1,1139,3,4
AAM08,AAM,asee_shstep07,7,1,887,3,2
AAM08,AAM,asee_shstep09,9,0,1891,3,5
AAM08,AAM,asee_shstep11,11,1,943,3,6
