subject,id,condition,word,trial,nounAnswer,rt,grammarType,wordType,sex,hearing,lang,equip
Subject002,1010subject452,aam,human,65,1,1915,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,yoghurt,66,1,2578,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,energy,67,0,1233,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,casserolestep12,68,1,1166,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,gullible,69,0,953,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,parable,7,0,2478,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,family,70,1,1192,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,parrot,71,1,1081,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,grapple,72,0,1217,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,bakery,73,1,972,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,tutorial,74,0,1159,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,develop,75,0,1049,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,mineral,76,1,1446,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,recovery,77,0,1049,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,gasolinestep11,78,1,1606,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,remind,79,0,1163,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,anemia,8,0,1274,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,surrenderstep8,80,0,1177,notnoun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,sidewalkstep8,81,1,1393,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,around,82,0,1233,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,ironic,83,0,937,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,severalstep9,84,0,1182,notnoun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,typical,85,0,920,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,failure,86,0,939,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,warrantee,87,0,1080,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,relate,88,0,1113,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,umbrella,89,1,1318,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,garden,9,1,1469,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,ballerina,90,1,930,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,appear,91,0,830,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,eternal,92,0,1087,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,seaweedstep12,93,1,1735,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,sandalstep11,94,0,1383,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,animal,95,0,2038,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,honeymoon,96,0,1062,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,submarinestep10,97,1,1239,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,image,98,0,1263,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,overcome,99,0,1104,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,hamburger,0,1,1443,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject003,1010subject552,bam,embassystep11,1,1,1780,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,hallucinatestep8,10,0,1560,notnoun,critical,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,umbrella,11,1,1487,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,beauty,12,0,1227,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,engine,13,1,1363,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,royal,14,1,1221,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,immoral,15,0,1430,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,hidden,16,0,1184,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,remedial,17,0,2434,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,manually,18,0,1493,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,occupy,19,0,1657,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,develop,2,0,2638,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,parable,20,0,1258,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,energy,21,1,2329,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,anemia,22,1,2864,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,remind,23,0,1427,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,ironic,24,0,1144,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,hamburger,25,1,1274,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,vibrant,26,0,2382,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,utensilstep10,27,1,1697,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,embody,28,0,1646,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject003,1010subject552,bam,dragon,29,1,1227,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
